562	148.532999	0	148	7.0	0.116223	26.1	102305
563	149.123352	0	167	8.9	0.116527	26.1	102304
564	149.248870	0	150	7.2	0.116826	26.1	102304
565	149.637840	0	224	14.5	0.117116	26.1	102304
566	150.191010	0	314	22.8	0.117397	26.1	102301
Device ID(s): 567	150.362649	0	192	11.4	0.117692	26.1	102301
2025-05-28 16:28:45.874433 568	150.443524	0	1133	95.9	0.117985	26.1	102301 567	150.362649	0	192	11.4	0.117692	26.1	102301
2025-05-28 16:28:46.288222 569	150.857348	0	710	58.3	0.118280	26.1	102304 567	150.362649	0	192	11.4	0.117692	26.1	102301
2025-05-28 16:28:46.429747 570	150.998884	0	165	8.7	0.118574	26.1	102304 567	150.362649	0	192	11.4	0.117692	26.1	102301
2025-05-28 16:28:46.851461 571	151.420606	0	275	19.3	0.118861	26.1	102302 567	150.362649	0	192	11.4	0.117692	26.1	102301
2025-05-28 16:28:46.952742 572	151.521845	0	152	7.4	0.119159	26.1	102302 567	150.362649	0	192	11.4	0.117692	26.1	102301
2025-05-28 16:28:47.013245 573	151.582433	0	244	16.5	0.119449	26.1	102302 567	150.362649	0	192	11.4	0.117692	26.1	102301
2025-05-28 16:28:47.086940 574	151.656069	0	589	47.8	0.119747	26.1	102302 567	150.362649	0	192	11.4	0.117692	26.1	102301
2025-05-28 16:28:47.204680 575	151.773795	0	674	55.2	0.120036	26.1	102302 567	150.362649	0	192	11.4	0.117692	26.1	102301
2025-05-28 16:28:48.198764 576	152.767946	0	421	32.2	0.120321	26.1	102300 567	150.362649	0	192	11.4	0.117692	26.1	102301
2025-05-28 16:28:48.469924 577	153.039131	0	1152	97.5	0.120635	26.1	102306 567	150.362649	0	192	11.4	0.117692	26.1	102301
2025-05-28 16:28:48.651047 578	153.220290	0	150	7.2	0.120926	26.1	102306 567	150.362649	0	192	11.4	0.117692	26.1	102301
2025-05-28 16:28:48.685454 579	153.254703	0	366	27.3	0.121211	26.1	102306 567	150.362649	0	192	11.4	0.117692	26.1	102301
2025-05-28 16:28:48.782011 580	153.351236	0	292	20.8	0.121496	26.1	102306 567	150.362649	0	192	11.4	0.117692	26.1	102301
2025-05-28 16:28:48.969847 581	153.539108	0	550	44.1	0.121791	26.1	102305 567	150.362649	0	192	11.4	0.117692	26.1	102301
2025-05-28 16:28:49.364755 582	153.933988	0	414	31.6	0.122095	26.1	102304 567	150.362649	0	192	11.4	0.117692	26.1	102301
2025-05-28 16:28:49.956004 583	154.525261	0	347	25.6	0.122384	26.1	102302 567	150.362649	0	192	11.4	0.117692	26.1	102301
2025-05-28 16:28:50.105699 584	154.674946	0	209	13.1	0.122681	26.1	102302 567	150.362649	0	192	11.4	0.117692	26.1	102301
2025-05-28 16:28:50.459464 585	155.028690	0	2902	244.4	0.122981	26.1	102305 567	150.362649	0	192	11.4	0.117692	26.1	102301
2025-05-28 16:28:50.590219 586	155.159506	0	184	10.6	0.123275	26.1	102305 567	150.362649	0	192	11.4	0.117692	26.1	102301
2025-05-28 16:28:50.951904 587	155.521169	0	205	12.7	0.123566	26.1	102304 567	150.362649	0	192	11.4	0.117692	26.1	102301
2025-05-28 16:28:51.085110 588	155.654384	0	620	50.7	0.123859	26.1	102304 567	150.362649	0	192	11.4	0.117692	26.1	102301
2025-05-28 16:28:51.262357 589	155.831633	0	629	51.5	0.124148	26.1	102304 567	150.362649	0	192	11.4	0.117692	26.1	102301
2025-05-28 16:28:51.324043 590	155.893330	0	233	15.4	0.124444	26.1	102304 567	150.362649	0	192	11.4	0.117692	26.1	102301
2025-05-28 16:28:51.467925 591	156.037192	0	176	9.8	0.124735	26.1	102304 567	150.362649	0	192	11.4	0.117692	26.1	102301
2025-05-28 16:28:51.637479 592	156.206781	0	986	83.5	0.125025	26.1	102304 567	150.362649	0	192	11.4	0.117692	26.1	102301
2025-05-28 16:28:51.926872 593	156.496170	0	633	51.8	0.125324	26.1	102302 567	150.362649	0	192	11.4	0.117692	26.1	102301
2025-05-28 16:28:52.073531 594	156.642802	0	1392	117.5	0.125616	26.1	102302 567	150.362649	0	192	11.4	0.117692	26.1	102301
2025-05-28 16:28:52.381483 595	156.950774	0	713	58.5	0.125906	26.2	102301 567	150.362649	0	192	11.4	0.117692	26.1	102301
2025-05-28 16:28:52.494687 596	157.063992	0	187	10.9	0.126192	26.2	102301 567	150.362649	0	192	11.4	0.117692	26.1	102301
2025-05-28 16:28:52.687476 597	157.256763	0	186	10.8	0.126502	26.2	102301 567	150.362649	0	192	11.4	0.117692	26.1	102301
2025-05-28 16:28:52.916020 598	157.485313	0	269	18.8	0.126792	26.2	102301 567	150.362649	0	192	11.4	0.117692	26.1	102301
2025-05-28 16:28:53.391930 599	157.961254	0	151	7.3	0.127079	26.2	102304 567	150.362649	0	192	11.4	0.117692	26.1	102301
2025-05-28 16:28:53.507031 600	158.076353	0	218	13.9	0.127367	26.2	102304 567	150.362649	0	192	11.4	0.117692	26.1	102301
2025-05-28 16:28:53.744346 601	158.313646	0	419	32.0	0.127662	26.2	102302 567	150.362649	0	192	11.4	0.117692	26.1	102301
2025-05-28 16:28:53.901194 602	158.470516	0	173	9.5	0.127951	26.2	102302 567	150.362649	0	192	11.4	0.117692	26.1	102301
2025-05-28 16:28:53.945712 603	158.514939	0	161	8.3	0.128255	26.2	102302 567	150.362649	0	192	11.4	0.117692	26.1	102301
2025-05-28 16:28:54.316764 604	158.886069	0	426	32.7	0.128553	26.2	102301 567	150.362649	0	192	11.4	0.117692	26.1	102301
2025-05-28 16:28:54.668380 605	159.237673	0	207	12.9	0.128846	26.2	102301 567	150.362649	0	192	11.4	0.117692	26.1	102301
2025-05-28 16:28:55.167797 606	159.737110	0	191	11.3	0.129137	26.2	102304 567	150.362649	0	192	11.4	0.117692	26.1	102301
2025-05-28 16:28:55.635719 607	160.204977	0	225	14.6	0.129429	26.2	102304 567	150.362649	0	192	11.4	0.117692	26.1	102301
2025-05-28 16:28:55.973050 608	160.542403	0	192	11.4	0.129723	26.2	102304 567	150.362649	0	192	11.4	0.117692	26.1	102301
2025-05-28 16:28:55.998523 609	160.567885	0	156	7.8	0.130023	26.2	102304 567	150.362649	0	192	11.4	0.117692	26.1	102301
2025-05-28 16:28:56.048741 610	160.618065	0	145	6.7	0.130314	26.2	102302 567	150.362649	0	192	11.4	0.117692	26.1	102301
